Time,Voltage
1,438
2,360
3,287
4,230
5,188
6,150
7,123
8,98
9,80
10,64
11,51
12,42
13,35
14,27
15,23
16,16
17,200
18,342
19,468
20,567
21,650
22,504
23,402
24,321
25,256
26,204
27,370
28,491
29,587
30,669
31,734
32,569
33,458
34,369
35,296
36,235
37,402
38,517
39,611
40,686
41,747
42,580
43,467
44,374
45,299
46,239
47,409
48,523
49,615
50,691
51,731
52,582
53,468
54,376
55,301
56,266
57,411
58,523
59,617
60,692
61,729
62,580
63,466
64,375
65,301
66,268
67,414
68,527
69,618
70,694
71,724
72,579
73,464
74,372
75,299
76,272
77,417
78,529
79,620
80,696
81,720
82,576
83,464
84,372
85,299
86,274
87,417
88,530
89,621
90,696
91,719
92,574
93,463
94,370
95,297
96,276
97,421
98,532
99,622
100,697
101,717
102,573
103,459
104,368
105,298
106,278
107,422
108,533
109,625
110,697
111,714
112,571
113,460
114,368
115,295
116,283
117,426
118,536
119,625
120,699
121,712
122,568
123,457
124,368
125,296
126,285
127,425
128,539
129,627
130,701
131,707
132,567
133,456
134,365
135,293
136,287
137,429
138,541
139,629
140,701
141,705
142,565
143,453
144,365
145,292
146,291
147,430
148,541
149,630
150,703
151,702
152,563
153,452
154,363
155,292
156,292
157,432
158,541
159,632
160,702
161,701
162,560
163,450
164,362
165,290
166,294
167,435
168,542
169,632
170,704
171,698
172,560
173,450
174,362
175,289
176,298
177,437
178,547
179,635
180,704
181,696
182,557
183,447
184,359
185,290
186,300
187,439
188,545
189,636
190,707
191,693
192,554
193,447
194,356
195,289
196,304
197,441
198,550
199,637
200,708
201,691
202,553
203,443
204,354
205,286
206,304
207,443
208,551
209,638
210,707
211,689
212,553
213,444
214,352
215,287
216,308
217,445
218,552
219,638
220,709
221,687
222,550
223,442
224,354
225,282
226,309
227,444
228,553
229,640
230,711
231,683
232,547
233,439
234,353
235,284
236,314
237,448
238,554
239,641
240,713
241,680
242,544
243,436
244,352
245,283
246,315
247,451
248,556
249,642
250,714
251,678
252,543
253,436
254,352
255,283
256,318
257,452
258,558
259,644
260,713
261,675
262,541
263,434
264,350
265,280
266,321
267,453
268,560
269,646
270,713
271,673
272,540
273,434
274,347
275,280
276,323
277,457
278,562
279,644
280,717
281,671
282,539
283,433
284,348
285,279
286,326
287,458
288,561
289,646
290,717
291,668
292,535
293,431
294,346
295,277
296,327
297,457
298,563
299,646
300,718
301,666
302,534
303,429
304,345
305,276
306,331
307,460
308,566
309,649
310,720
311,663
312,532
313,427
314,344
315,275
316,332
317,462
318,566
319,649
320,719
321,661
322,528
323,425
324,341
325,275
326,335
327,464
328,568
329,651
330,722
331,660
332,530
333,426
334,340
335,274
336,337
337,468
338,572
339,653
340,721
341,655
342,526
343,424
344,341
345,273
346,337
347,468
348,572
349,654
350,722
351,654
352,525
353,421
354,340
355,274
356,342
357,469
358,572
359,654
360,724
361,653
362,522
363,421
364,338
365,271
366,343
367,471
368,575
369,656
370,725
371,648
372,521
373,416
374,336
375,268
376,346
377,472
378,576
379,658
380,726
381,648
382,519
383,418
384,335
385,269
386,349
387,476
388,578
389,659
390,726
391,646
392,519
393,417
394,335
395,268
396,350
397,477
398,578
399,662
400,728
401,642
402,514
403,415
404,333
405,268
406,352
407,479
408,580
409,663
410,728
411,641
412,515
413,413
414,331
415,266
416,355
417,482
418,580
419,663
420,729
421,639
422,512
423,412
424,330
425,266
426,358
427,482
428,584
429,663
430,729
431,635
432,509
433,410
434,330
435,265
436,359
437,485
438,585
439,666
440,731
441,634
442,505
443,409
444,327
445,262
446,363
447,487
448,587
449,666
450,733
451,632
452,506
453,407
454,327
455,264
456,365
457,489
458,586
459,667
460,733
461,628
462,506
463,407
464,325
465,263
466,365
467,490
468,587
469,668
470,731
471,626
472,502
473,406
474,326
475,262
476,369
477,492
478,590
479,670
480,733
481,625
482,503
483,402
484,323
485,259
486,373
487,494
488,593
489,670
490,736
491,623
492,501
493,403
494,323
495,260
496,371
497,495
498,592
499,673
500,737
501,621
502,497
503,399
504,320
505,259
506,376
507,495
508,594
509,672
510,737
511,618
512,497
513,399
514,319
515,257
516,378
517,499
518,597
519,675
520,738
521,615
522,496
523,396
524,317
525,256
526,380
527,500
528,598
529,674
530,740
531,612
532,494
533,397
534,320
535,257
536,383
537,501
538,597
539,673
540,741
541,612
542,490
543,395
544,318
545,255
546,384
547,502
548,600
549,677
550,741
551,609
552,491
553,394
554,316
555,253
556,386
557,506
558,602
559,680
560,743
561,607
562,487
563,390
564,313
565,253
566,387
567,508
568,603
569,679
570,744
571,606
572,485
573,391
574,313
575,252
576,391
577,508
578,603
579,682
580,744
581,603
582,484
583,389
584,312
585,251
586,392
587,510
588,605
589,684
590,745
591,601
592,483
593,389
594,313
595,252
596,395
597,511
598,607
599,683
600,746
601,598
602,480
603,387
604,311
605,251
606,395
607,513
608,607
609,684
610,747
611,597
612,479
613,384
614,308
615,247
616,397
617,515
618,610
619,685
620,747
621,594
622,477
623,383
624,307
625,246
626,398
627,518
628,611
629,687
630,749
631,594
632,477
633,382
634,308
635,248
636,403
637,520
638,612
639,685
640,751
641,592
642,474
643,382
644,307
645,244
646,407
647,520
648,615
649,688
650,751
651,589
652,472
653,380
654,304
655,240
656,408
657,523
658,616
659,690
660,749
661,585
662,471
663,378
664,304
665,241
666,409
667,524
668,616
669,690
670,750
671,584
672,468
673,376
674,302
675,264
676,413
677,526
678,618
679,691
680,729
681,580
682,467
683,374
684,301
685,268
686,415
687,526
688,620
689,692
690,727
691,579
692,465
693,375
694,300
695,269
696,416
697,528
698,618
699,694
700,725
701,578
702,465
703,371
704,301
705,270
706,416
707,530
708,622
709,695
710,718
711,573
712,463
713,373
714,298
715,275
716,419
717,533
718,622
719,696
720,717
721,573
722,460
723,369
724,296
725,279
726,422
727,534
728,624
729,697
730,715
731,571
732,460
733,370
734,298
735,279
736,423
737,536
738,626
739,697
740,713
741,569
742,455
743,368
744,297
745,284
746,426
747,537
748,626
749,699
750,710
751,567
752,457
753,366
754,295
755,287
756,428
757,536
758,629
759,701
760,707
761,566
762,456
763,366
764,293
765,288
766,430
767,540
768,630
769,703
770,706
771,564
772,453
773,363
774,292
775,292
776,432
777,541
778,629
779,703
780,703
781,562
782,453
783,364
784,292
785,293
786,432
787,543
788,633
789,703
790,699
791,560
792,451
793,363
794,291
795,297
796,436
797,544
798,633
799,706
800,698
801,558
802,448
803,360
804,290
805,300
806,437
807,546
808,633
809,706
810,694
